x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	21	
5	22	
6	26	
7	33	
8	35	
9	46	
10	49	
11	49	
12	49	
13	51	
14	53	
15	54	
16	54	
17	54	
18	56	
19	57	
20	58	
21	60	
22	62	
23	65	
24	72	
25	94	
26	94	
27	94	
28	98	
29	98	
30	99	
31	99	
32	101	
33	107	
34	108	
35	110	
36	114	
37	114	
38	120	
39	122	
40	122	
41	123	
42	123	
43	131	
44	132	
45	133	
46	135	
47	137	
48	138	
49	138	
50	143	
51	171	
52	182	
53	190	
54	191	
55	199	
56	199	
57	215	
58	216	
59	218	
60	226	
61	229	
62	236	
63	239	
64	239	
65	239	
66	243	
67	250	
68	257	
69	261	
70	263	
71	271	25.3
72	271	
73	271	
74	271	
75	275	
76	275	18.2
77	274	
78	275	
79	276	
80	285	
81	287	16.1
82	288	
83	289	
84	294	
85	297	
86	300	19.5
87	298	
88	301	
89	305	
90	305	
91	319	24.91
92	316	
93	318	
94	320	
95	324	
96	327	24.91
97	328	
98	329	
99	344	
100	344	
101	345	33.21
102	340	
103	342	
104	343	
105	349	
106	352	33.21
107	351	
108	351	
109	355	
110	376	
111	385	26.01
112	387	
113	385	
114	386	
115	383	
116	389	32.41
117	392	
118	390	
119	396	
120	394	
121	397	32.41
122	409	
123	409	
124	414	
125	414	
126	413	33.91
127	418	
128	426	
129	430	
130	429	
131	429	28.41
132	425	
133	424	
134	430	
135	430	
136	431	28.41
137	434	
138	429	
139	435	
140	464	
141	479	37.31
142	492	
143	493	
144	493	
145	497	
146	498	45.21
147	495	
148	501	
149	504	
150	507	
151	505	42.47
152	510	
153	513	
154	519	
155	518	
156	511	42.47
157	507	
158	515	
159	526	
160	534	
161	528	42.47
162	525	
163	533	
164	537	
165	540	
166	532	42.47
167	529	
168	531	
169	530	
170	524	
171	527	33
172	530	
173	537	
174	535	
175	534	
176	534	46.1
177	540	
178	544	
179	546	
180	550	
181	555	44.1
182	563	
183	560	
184	562	
185	559	
186	562	45.7
187	567	
188	567	
189	566	
190	569	
191	573	45.1
192	579	
193	582	
194	574	
195	579	
196	584	42.3
197	589	
198	591	
199	592	
200	595	
201	607	27.9
202	609	
203	606	
204	602	
205	615	
206	614	39.8
