x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	5	
5	8	
6	10	
7	10	
8	11	
9	11	
10	11	
11	11	
12	11	
13	11	
14	11	
15	11	
16	11	
17	11	
18	11	
19	11	
20	11	
21	12	
22	13	
23	13	
24	13	
25	13	
26	13	
27	13	
28	14	
29	14	
30	15	
31	15	
32	16	
33	16	
34	16	
35	17	
36	17	
37	18	
38	19	
39	19	
40	20	
41	20	
42	20	
43	21	
44	21	
45	21	
46	21	
47	22	
48	23	
49	25	
50	25	
51	25	
52	25	
53	25	
54	26	
55	26	
56	26	
57	28	
58	28	
59	28	
60	29	
61	34	
62	36	
63	36	
64	37	
65	38	
66	42	
67	43	
68	43	
69	44	
70	44	
71	45	32.13
72	47	
73	46	
74	45	
75	46	
76	48	30.78
77	48	
78	48	
79	48	
80	52	
81	52	21.44
82	51	
83	52	
84	52	
85	52	
86	52	20.58
87	55	
88	55	
89	61	
90	63	
91	64	20.78
92	65	
93	66	
94	66	
95	66	
96	68	31.74
97	69	
98	69	
99	69	
100	69	
101	74	29.44
102	74	
103	75	
104	77	
105	79	
106	84	31.14
107	87	
108	88	
109	89	
110	89	
111	89	32.84
112	89	
113	88	
114	88	
115	93	
116	94	19.3
117	101	
118	100	
119	101	
120	102	
121	102	23.3
122	104	
123	104	
124	107	
125	107	
126	107	16.1
127	107	
128	106	
129	107	
130	108	
131	110	20.7
132	109	
133	109	
134	112	
135	114	
136	118	12.9
137	118	
138	120	
139	124	
140	124	
141	125	12.9
142	124	
143	126	
144	125	
145	124	
146	128	8
147	130	
148	130	
149	130	
150	131	
151	139	16.3
152	138	
153	137	
154	138	
155	137	
156	140	20.8
157	141	
158	143	
159	143	
160	141	
161	142	28.2
162	142	
163	144	
164	143	
165	143	
166	143	22
167	142	
168	143	
169	142	
170	142	
171	142	28.6
172	141	
173	141	
174	144	
175	144	
176	143	29.1
177	140	
178	141	
179	137	
180	134	
181	136	29.1
182	136	
183	135	
184	134	
185	133	
186	135	29.1
187	134	
188	134	
189	133	
190	130	
191	132	29.1
192	132	
193	130	
194	128	
195	126	
196	128	29.1
197	128	
198	137	
199	137	
200	148	
201	153	27.6
202	157	
203	147	
204	149	
205	148	
206	148	30.8
