x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	3	
5	3	
6	12	
7	14	
8	20	
9	25	
10	25	
11	25	
12	25	
13	26	
14	34	
15	34	
16	34	
17	35	
18	36	
19	37	
20	37	
21	38	
22	38	
23	40	
24	53	
25	53	
26	55	
27	55	
28	57	
29	57	
30	57	
31	58	
32	58	
33	60	
34	61	
35	61	
36	66	
37	67	
38	69	
39	72	
40	74	
41	78	
42	78	
43	78	
44	81	
45	81	
46	83	
47	83	
48	84	
49	85	
50	86	
51	86	
52	88	
53	88	
54	88	
55	90	
56	90	
57	90	
58	90	
59	90	
60	90	
61	92	
62	93	
63	93	
64	93	
65	96	
66	96	
67	97	
68	98	
69	104	
70	104	
71	106	20.26
72	106	
73	107	
74	110	
75	111	
76	113	17.25
77	113	
78	112	
79	111	
80	111	
81	110	21.76
82	112	
83	110	
84	112	
85	113	
86	112	21.76
87	112	
88	113	
89	114	
90	118	
91	118	24.86
92	121	
93	119	
94	119	
95	125	
96	127	22.13
97	127	
98	123	
99	123	
100	121	
101	122	22.13
102	122	
103	122	
104	124	
105	123	
106	123	23.4
107	122	
108	122	
109	122	
110	129	
111	129	23.4
112	130	
113	130	
114	130	
115	126	
116	126	23.4
117	120	
118	120	
119	120	
120	121	
121	122	20.8
122	125	
123	124	
124	129	
125	135	
126	138	18.3
127	138	
128	138	
129	140	
130	141	
131	141	27.53
132	140	
133	140	
134	140	
135	142	
136	143	27.53
137	138	
138	138	
139	143	
140	146	
141	148	39.6
142	146	
143	148	
144	156	
145	157	
146	155	40.8
147	152	
148	152	
149	150	
150	150	
151	150	44.6
152	151	
153	150	
154	153	
155	153	
156	162	40.2
157	162	
158	162	
159	162	
160	163	
161	165	40.2
162	164	
163	165	
164	159	
165	160	
166	168	38.8
167	168	
168	169	
169	170	
170	169	
171	184	42.6
172	184	
173	187	
174	187	
175	191	
176	195	28.29
177	195	
178	194	
179	194	
180	196	
181	197	39.2
182	197	
183	197	
184	198	
185	201	
186	201	32.06
187	201	
188	199	
189	198	
190	198	
191	197	36.8
192	195	
193	195	
194	193	
195	192	
196	195	40.3
197	193	
198	193	
199	191	
200	190	
201	191	27.39
202	191	
203	191	
204	191	
205	191	
