x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	44	
5	52	
6	56	
7	83	
8	104	
9	129	
10	153	
11	155	
12	158	
13	160	
14	168	
15	170	
16	171	
17	171	
18	172	
19	172	
20	181	
21	187	
22	201	
23	282	
24	338	
25	435	
26	448	
27	448	
28	480	
29	484	
30	492	
31	493	
32	494	
33	513	
34	530	
35	535	
36	546	
37	551	
38	579	
39	586	
40	589	
41	598	
42	604	
43	638	
44	640	
45	645	
46	675	
47	679	
48	684	
49	695	
50	715	
51	761	
52	828	
53	849	
54	852	
55	888	
56	890	
57	932	
58	936	
59	942	
60	950	
61	957	
62	988	
63	990	
64	997	
65	1014	
66	1024	
67	1047	
68	1069	
69	1079	
70	1101	
71	1108	17
72	1113	
73	1121	
74	1127	
75	1161	
76	1167	11.62
77	1167	
78	1190	
79	1197	
80	1215	
81	1222	17.2
82	1224	
83	1227	
84	1247	
85	1265	
86	1277	20.1
87	1283	
88	1281	
89	1296	
90	1298	
91	1321	20.1
92	1344	
93	1347	
94	1358	
95	1371	
96	1390	21.6
97	1440	
98	1433	
99	1463	
100	1346	
101	1348	26.2
102	1340	
103	1422	
104	1421	
105	1437	
106	1513	25.8
107	1512	
108	1534	
109	1562	
110	1570	
111	1580	25.8
112	1583	
113	1600	
114	1607	
115	1617	
116	1633	25.8
117	1633	
118	1635	
119	1641	
120	1613	
121	1649	27.6
122	1657	
123	1658	
124	1668	
125	1649	
126	1674	26.4
127	1751	
128	1750	
129	1764	
130	1761	
131	1766	37.8
132	1777	
133	1778	
134	1766	
135	1775	
136	1778	43
137	1798	
138	1789	
139	1809	
140	1812	
141	1820	42.8
142	1828	
143	1827	
144	1820	
145	1841	
146	1874	44
147	1898	
148	1912	
149	1911	
150	1939	
151	1943	29.4
152	1973	
153	1956	
154	1952	
155	1994	
156	1987	35.99
157	1991	
158	1993	
159	2040	
160	2069	
161	2070	37.99
162	2051	
163	2049	
164	2080	
165	2089	
166	2092	46.79
167	2088	
168	2090	
169	2127	
170	2120	
171	2115	47.29
172	2100	
173	2111	
174	2133	
175	2112	
176	2109	48.99
177	2108	
178	2098	
179	2122	
180	2106	
181	2121	42.19
182	2206	
183	2207	
184	2209	
185	2192	
