x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	4	
5	6	
6	6	
7	6	
8	6	
9	9	
10	9	
11	9	
12	9	
13	9	
14	9	
15	9	
16	9	
17	10	
18	10	
19	10	
20	10	
21	10	
22	11	
23	12	
24	12	
25	12	
26	12	
27	12	
28	12	
29	12	
30	13	
31	14	
32	14	
33	14	
34	14	
35	14	
36	14	
37	14	
38	14	
39	14	
40	14	
41	14	
42	14	
43	14	
44	15	
45	15	
46	15	
47	15	
48	15	
49	17	
50	17	
51	17	
52	17	
53	17	
54	17	
55	17	
56	17	
57	17	
58	17	
59	17	
60	17	
61	18	
62	18	
63	18	
64	19	
65	19	
66	19	
67	19	
68	22	
69	22	
70	22	
71	22	37.31
72	22	
73	22	
74	21	
75	21	
76	18	21.21
77	18	
78	18	
79	18	
80	18	
81	24	21.11
82	24	
83	26	
84	26	
85	26	
86	26	24.21
87	27	
88	27	
89	28	
90	28	
91	28	28.21
92	28	
93	28	
94	27	
95	29	
96	29	29.61
97	29	
98	27	
99	27	
100	28	
101	28	32.11
102	28	
103	28	
104	28	
105	30	
106	29	32.11
107	29	
108	30	
109	31	
110	33	
111	33	37.61
112	33	
113	33	
114	33	
115	39	
116	39	40.7
117	39	
118	39	
119	38	
120	38	
121	38	32.81
122	38	
123	38	
124	39	
125	39	
126	42	24.21
127	42	
128	45	
129	45	
130	46	
131	46	23.01
132	46	
133	46	
134	46	
135	47	
136	47	23.32
137	47	
138	49	
139	49	
140	49	
141	49	30.16
142	49	
143	49	
144	49	
145	49	
146	50	25.36
147	50	
148	50	
149	50	
150	53	
151	55	18.86
152	54	
153	53	
154	52	
155	52	
156	53	18.26
157	52	
158	52	
159	53	
160	54	
161	54	18.86
162	56	
163	58	
164	63	
165	63	
166	64	18.17
167	63	
168	63	
169	61	
170	55	
171	55	18.17
172	52	
173	53	
174	57	
175	59	
176	59	11.77
177	59	
178	59	
179	60	
180	60	
181	60	18.17
182	60	
183	59	
184	59	
185	59	
186	61	14.27
187	60	
188	60	
189	60	
190	62	
191	61	14.27
192	61	
193	61	
194	60	
195	60	
196	62	10.89
197	63	
198	63	
199	64	
200	64	
201	64	16.4
202	64	
203	64	
204	61	
205	61	
