x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	10	
5	12	
6	12	
7	12	
8	15	
9	17	
10	17	
11	18	
12	18	
13	18	
14	20	
15	20	
16	20	
17	21	
18	21	
19	22	
20	22	
21	23	
22	24	
23	26	
24	32	
25	37	
26	40	
27	40	
28	40	
29	40	
30	40	
31	40	
32	40	
33	41	
34	41	
35	44	
36	44	
37	44	
38	47	
39	47	
40	47	
41	47	
42	49	
43	49	
44	49	
45	49	
46	55	
47	55	
48	55	
49	55	
50	55	
51	64	
52	65	
53	66	
54	66	
55	66	
56	67	
57	67	
58	68	
59	69	
60	69	
61	69	
62	69	
63	69	
64	69	
65	71	
66	71	
67	71	
68	71	
69	72	
70	72	
71	72	36.95
72	72	
73	72	
74	72	
75	74	
76	74	10.6
77	74	
78	74	
79	74	
80	76	
81	76	8.6
82	81	
83	78	
84	80	
85	80	
86	80	10.47
87	79	
88	82	
89	72	
90	76	
91	76	10.6
92	76	
93	75	
94	75	
95	87	
96	89	10.9
97	172	
98	172	
99	181	
100	183	
101	184	12.5
102	182	
103	180	
104	186	
105	196	
106	198	10.6
107	198	
108	197	
109	197	
110	197	
111	197	12.6
112	201	
113	201	
114	198	
115	204	
116	205	13.1
117	205	
118	209	
119	208	
120	212	
121	219	6.16
122	217	
123	228	
124	224	
125	228	
126	229	25.53
127	245	
128	248	
129	248	
130	250	
131	265	27.23
132	266	
133	271	
134	271	
135	269	
136	276	31.4
137	281	
138	281	
139	281	
140	278	
141	283	37.23
142	287	
143	287	
144	288	
145	291	
146	291	37.23
147	299	
148	338	
149	341	
150	341	
151	342	37.23
152	342	
153	351	
154	350	
155	352	
156	353	37.23
157	360	
158	387	
159	386	
160	429	
161	429	37.23
162	430	
163	450	
164	449	
165	467	
166	467	40.23
167	512	
168	513	
169	508	
170	513	
171	508	19.18
172	512	
173	530	
174	530	
175	564	
176	562	13.18
177	563	
178	566	
179	569	
180	573	
181	573	19.18
182	573	
183	572	
184	589	
185	533	
186	544	28.49
187	547	
188	542	
189	552	
190	554	
191	552	28.49
192	553	
193	547	
194	542	
195	540	
196	541	29.19
197	541	
198	541	
199	548	
200	547	
201	553	29.59
202	573	
203	570	
204	564	
205	576	
