x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	3	
5	3	
6	3	
7	3	
8	11	
9	14	
10	15	
11	15	
12	15	
13	16	
14	16	
15	16	
16	16	
17	17	
18	17	
19	17	
20	18	
21	18	
22	23	
23	23	
24	26	
25	27	
26	28	
27	28	
28	29	
29	30	
30	30	
31	30	
32	30	
33	31	
34	32	
35	32	
36	32	
37	33	
38	33	
39	33	
40	33	
41	33	
42	33	
43	35	
44	35	
45	36	
46	36	
47	36	
48	37	
49	37	
50	37	
51	37	
52	37	
53	38	
54	42	
55	43	
56	43	
57	43	
58	43	
59	43	
60	43	
61	44	
62	44	
63	46	
64	50	
65	50	
66	52	
67	52	
68	52	
69	53	
70	53	
71	53	27.05
72	53	
73	53	
74	55	
75	56	
76	56	24.9
77	55	
78	55	
79	55	
80	55	
81	58	27.2
82	58	
83	59	
84	59	
85	62	
86	63	27.2
87	64	
88	64	
89	64	
90	64	
91	64	25.35
92	63	
93	61	
94	63	
95	69	
96	68	25.35
97	68	
98	68	
99	69	
100	69	
101	70	20.98
102	69	
103	67	
104	66	
105	66	
106	66	25.35
107	68	
108	68	
109	69	
110	69	
111	69	25.35
112	70	
113	71	
114	72	
115	74	
116	74	25.35
117	74	
118	74	
119	75	
120	75	
121	76	21.65
122	76	
123	75	
124	73	
125	74	
126	74	22.25
127	79	
128	77	
129	77	
130	82	
131	81	25.35
132	81	
133	81	
134	82	
135	85	
136	83	21.5
137	84	
138	84	
139	84	
140	88	
141	88	22.3
142	88	
143	87	
144	86	
145	86	
146	85	35.6
147	85	
148	84	
149	83	
150	85	
151	85	35.6
152	83	
153	83	
154	83	
155	83	
156	86	29.4
157	84	
158	84	
159	88	
160	87	
161	87	23.2
162	86	
163	85	
164	84	
165	84	
166	83	25.1
167	82	
168	83	
169	87	
170	87	
171	88	23.8
172	88	
173	89	
174	91	
175	89	
176	89	27.91
177	89	
178	89	
179	92	
180	91	
181	93	23.61
182	93	
183	93	
184	93	
185	95	
186	96	33.75
187	96	
188	96	
189	95	
190	96	
191	95	30.65
192	96	
193	94	
194	94	
195	94	
196	95	38.55
197	94	
198	96	
199	96	
200	96	
201	94	33.65
202	95	
203	94	
204	92	
205	93	
