x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	9	
5	10	
6	10	
7	10	
8	10	
9	10	
10	11	
11	11	
12	12	
13	12	
14	13	
15	14	
16	14	
17	14	
18	15	
19	15	
20	15	
21	16	
22	16	
23	16	
24	16	
25	16	
26	16	
27	16	
28	16	
29	16	
30	16	
31	17	
32	17	
33	17	
34	17	
35	17	
36	17	
37	17	
38	17	
39	17	
40	30	
41	30	
42	32	
43	34	
44	35	
45	35	
46	35	
47	35	
48	35	
49	35	
50	35	
51	35	
52	35	
53	35	
54	35	
55	35	
56	36	
57	37	
58	37	
59	37	
60	37	
61	37	
62	37	
63	37	
64	37	
65	37	
66	38	
67	38	
68	39	
69	48	
70	49	
71	51	90.09
72	52	
73	54	
74	54	
75	54	
76	54	86.19
77	55	
78	56	
79	56	
80	56	
81	57	73.89
82	57	
83	59	
84	77	
85	77	
86	78	68.79
87	78	
88	79	
89	80	
90	79	
91	79	65.89
92	79	
93	78	
94	79	
95	80	
96	83	51.89
97	83	
98	82	
99	82	
100	84	
101	86	45.99
102	86	
103	87	
104	88	
105	88	
106	90	32.99
107	92	
108	96	
109	96	
110	96	
111	99	17.15
112	96	
113	96	
114	96	
115	96	
116	96	15.28
117	96	
118	102	
119	103	
120	99	
121	101	17.15
122	101	
123	104	
124	106	
125	105	
126	107	23.9
127	107	
128	108	
129	115	
130	114	
131	114	24.4
132	115	
133	114	
134	122	
135	121	
136	121	28.31
137	123	
138	131	
139	134	
140	133	
141	132	30.26
142	135	
143	135	
144	138	
145	139	
146	139	31.66
147	137	
148	138	
149	138	
150	140	
151	144	29.6
152	144	
153	143	
154	137	
155	135	
156	135	32.6
157	136	
158	136	
159	141	
160	140	
161	145	27.3
162	152	
163	152	
164	152	
165	152	
166	152	32.2
167	152	
168	156	
169	155	
170	154	
171	154	37.9
172	154	
173	154	
174	162	
175	161	
176	162	39.8
177	162	
178	162	
179	165	
180	166	
181	170	34.72
182	168	
183	169	
184	169	
185	173	
186	174	31.53
187	174	
188	173	
189	176	
190	176	
191	175	23.27
192	175	
193	176	
194	176	
195	176	
196	174	27.56
197	174	
198	174	
199	174	
200	174	
201	172	23.79
202	174	
203	175	
204	173	
205	171	
