x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	1	
5	1	
6	6	
7	7	
8	10	
9	11	
10	12	
11	12	
12	12	
13	12	
14	13	
15	14	
16	14	
17	15	
18	15	
19	15	
20	15	
21	15	
22	15	
23	24	
24	40	
25	45	
26	52	
27	52	
28	52	
29	53	
30	54	
31	55	
32	56	
33	58	
34	60	
35	61	
36	63	
37	63	
38	65	
39	66	
40	67	
41	71	
42	71	
43	72	
44	75	
45	75	
46	76	
47	81	
48	82	
49	82	
50	84	
51	85	
52	85	
53	90	
54	90	
55	92	
56	92	
57	92	
58	99	
59	99	
60	99	
61	102	
62	109	
63	109	
64	110	
65	112	
66	112	
67	113	
68	119	
69	121	
70	121	
71	122	24.35
72	124	
73	124	
74	125	
75	126	
76	129	16.33
77	132	
78	132	
79	133	
80	134	
81	137	21.23
82	143	
83	146	
84	147	
85	149	
86	149	21.23
87	149	
88	149	
89	152	
90	155	
91	156	24.63
92	156	
93	156	
94	157	
95	167	
96	171	24.13
97	171	
98	174	
99	174	
100	177	
101	178	26.2
102	179	
103	180	
104	182	
105	183	
106	183	27.2
107	186	
108	186	
109	186	
110	190	
111	191	27.2
112	194	
113	193	
114	192	
115	193	
116	193	27.2
117	193	
118	194	
119	193	
120	193	
121	195	25.7
122	201	
123	200	
124	212	
125	218	
126	224	26.33
127	225	
128	225	
129	233	
130	232	
131	232	31.83
132	230	
133	233	
134	236	
135	245	
136	249	31.83
137	244	
138	243	
139	248	
140	250	
141	250	37.7
142	248	
143	251	
144	257	
145	256	
146	257	43.4
147	255	
148	256	
149	248	
150	249	
151	250	44.1
152	249	
153	248	
154	249	
155	248	
156	275	40.2
157	274	
158	275	
159	275	
160	276	
161	277	40.2
162	278	
163	279	
164	276	
165	278	
166	279	38.8
167	279	
168	280	
169	280	
170	279	
171	297	42.6
172	298	
173	298	
174	299	
175	306	
176	310	28.29
177	310	
178	307	
179	308	
180	314	
181	314	39.2
182	314	
183	315	
184	314	
185	316	
186	319	32.06
187	318	
188	317	
189	309	
190	310	
191	309	36.8
192	307	
193	308	
194	307	
195	306	
196	308	40.3
197	312	
198	314	
199	307	
200	307	
201	308	27.39
202	308	
203	311	
204	311	
205	309	
