x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	14	
5	14	
6	15	
7	24	
8	28	
9	42	
10	50	
11	51	
12	55	
13	57	
14	61	
15	61	
16	62	
17	64	
18	65	
19	65	
20	66	
21	79	
22	84	
23	97	
24	124	
25	183	
26	183	
27	184	
28	197	
29	198	
30	201	
31	203	
32	203	
33	220	
34	222	
35	227	
36	233	
37	235	
38	255	
39	258	
40	263	
41	272	
42	272	
43	295	
44	297	
45	299	
46	314	
47	320	
48	323	
49	328	
50	340	
51	351	
52	364	
53	375	
54	381	
55	394	
56	399	
57	454	
58	454	
59	455	
60	457	
61	469	
62	480	
63	482	
64	495	
65	532	
66	563	
67	580	
68	586	
69	588	
70	592	
71	605	20.7
72	610	
73	618	
74	618	
75	618	
76	623	13.7
77	653	
78	658	
79	666	
80	686	
81	690	19.4
82	690	
83	693	
84	696	
85	709	
86	721	14.9
87	725	
88	733	
89	748	
90	754	
91	769	22.11
92	771	
93	774	
94	777	
95	792	
96	795	22.11
97	797	
98	822	
99	848	
100	859	
101	862	22.11
102	858	
103	869	
104	873	
105	879	
106	892	22.11
107	893	
108	893	
109	910	
110	938	
111	951	23.21
112	959	
113	957	
114	965	
115	960	
116	967	29.61
117	968	
118	963	
119	963	
120	956	
121	958	29.61
122	972	
123	971	
124	964	
125	963	
126	961	29.61
127	974	
128	981	
129	989	
130	993	
131	994	28.41
132	999	
133	979	
134	1007	
135	1009	
136	1014	28.41
137	1011	
138	994	
139	994	
140	1032	
141	1041	41.21
142	1047	
143	1048	
144	1045	
145	1054	
146	1044	47.91
147	1040	
148	1042	
149	1042	
150	1047	
151	1034	44.57
152	1034	
153	1043	
154	1047	
155	1052	
156	1040	44.57
157	1036	
158	1038	
159	1051	
160	1060	
161	1056	44.57
162	1059	
163	1068	
164	1072	
165	1085	
166	1061	44.57
167	1059	
168	1084	
169	1070	
170	1058	
171	1049	38.8
172	1063	
173	1057	
174	1046	
175	1033	
176	1034	47.9
177	1047	
178	1049	
179	1051	
180	1051	
181	1050	47.8
182	1057	
183	1049	
184	1049	
185	1054	
186	1056	47.8
187	1071	
188	1060	
189	1056	
190	1053	
191	1066	47.8
192	1084	
193	1078	
194	1065	
195	1086	
