x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	13	
5	13	
6	13	
7	13	
8	15	
9	22	
10	23	
11	23	
12	23	
13	24	
14	24	
15	24	
16	24	
17	24	
18	24	
19	24	
20	24	
21	27	
22	27	
23	33	
24	36	
25	48	
26	48	
27	48	
28	51	
29	51	
30	51	
31	52	
32	52	
33	52	
34	53	
35	53	
36	54	
37	54	
38	57	
39	57	
40	57	
41	59	
42	60	
43	63	
44	63	
45	63	
46	65	
47	67	
48	67	
49	67	
50	67	
51	71	
52	71	
53	76	
54	76	
55	85	
56	85	
57	89	
58	89	
59	90	
60	96	
61	97	
62	100	
63	100	
64	100	
65	101	
66	101	
67	103	
68	117	
69	117	
70	118	
71	122	19.61
72	123	
73	123	
74	123	
75	123	
76	127	14.7
77	124	
78	126	
79	127	
80	132	
81	132	11.4
82	136	
83	137	
84	138	
85	137	
86	138	10.91
87	138	
88	139	
89	141	
90	142	
91	146	9.5
92	142	
93	142	
94	142	
95	145	
96	145	14.71
97	145	
98	144	
99	150	
100	150	
101	151	16.51
102	150	
103	153	
104	153	
105	154	
106	155	16.51
107	154	
108	155	
109	159	
110	170	
111	171	13.7
112	171	
113	171	
114	175	
115	179	
116	176	15.25
117	176	
118	175	
119	173	
120	175	
121	174	16.71
122	173	
123	175	
124	175	
125	174	
126	172	18.21
127	172	
128	170	
129	171	
130	171	
131	172	19.41
132	175	
133	174	
134	176	
135	177	
136	176	19.41
137	178	
138	180	
139	180	
140	188	
141	188	26.71
142	189	
143	189	
144	188	
145	189	
146	187	32.61
147	187	
148	184	
149	186	
150	189	
151	185	27.24
152	184	
153	184	
154	184	
155	184	
156	186	27.24
157	186	
158	188	
159	189	
160	189	
161	189	27.24
162	188	
163	191	
164	193	
165	193	
166	197	16.52
167	193	
168	196	
169	193	
170	193	
171	191	23.64
172	196	
173	198	
174	197	
175	192	
176	191	34.99
177	190	
178	185	
179	187	
180	191	
181	191	39.89
182	195	
183	194	
184	195	
185	194	
186	195	37.79
187	199	
188	198	
189	196	
190	195	
191	194	37.63
192	196	
193	196	
194	196	
195	197	
196	199	19.23
197	199	
198	199	
199	199	
200	202	
201	211	40.3
202	212	
203	208	
204	208	
205	205	
