x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	19	
5	21	
6	22	
7	96	
8	139	
9	241	
10	247	
11	250	
12	251	
13	256	
14	258	
15	258	
16	260	
17	266	
18	267	
19	268	
20	271	
21	275	
22	278	
23	299	
24	336	
25	342	
26	346	
27	347	
28	352	
29	358	
30	358	
31	359	
32	373	
33	376	
34	380	
35	385	
36	392	
37	402	
38	412	
39	416	
40	418	
41	425	
42	427	
43	435	
44	439	
45	448	
46	461	
47	464	
48	468	
49	470	
50	470	
51	523	
52	526	
53	542	
54	550	
55	559	
56	563	
57	567	
58	572	
59	576	
60	578	
61	592	
62	593	
63	606	
64	619	
65	642	
66	654	
67	657	
68	672	
69	723	
70	723	
71	728	30.6
72	732	
73	735	
74	742	
75	744	
76	742	16.65
77	744	
78	738	
79	748	
80	764	
81	800	22.33
82	804	
83	801	
84	798	
85	800	
86	808	19.39
87	803	
88	836	
89	854	
90	856	
91	858	25.31
92	853	
93	858	
94	881	
95	883	
96	886	23.5
97	883	
98	883	
99	902	
100	905	
101	903	22.7
102	896	
103	893	
104	886	
105	887	
106	887	31.3
107	887	
108	887	
109	896	
110	900	
111	911	24.3
112	900	
113	909	
114	953	
115	955	
116	950	34.4
117	941	
118	964	
119	961	
120	968	
121	971	34.4
122	969	
123	969	
124	965	
125	965	
126	957	28.4
127	980	
128	972	
129	974	
130	973	
131	968	28.4
132	970	
133	991	
134	985	
135	982	
136	975	30.1
137	989	
138	1001	
139	1004	
140	1001	
141	1028	30.1
142	1018	
143	1044	
144	1052	
145	1057	
146	1065	30.1
147	1067	
148	1067	
149	1117	
150	1124	
151	1142	40.8
152	1136	
153	1144	
154	1155	
155	1145	
156	1153	34.2
157	1150	
158	1158	
159	1169	
160	1194	
161	1198	33.2
162	1213	
163	1215	
164	1226	
165	1225	
166	1224	31.6
167	1225	
168	1236	
169	1234	
170	1253	
171	1285	31.3
172	1293	
173	1305	
174	1285	
175	1348	
176	1345	27
177	1341	
178	1319	
179	1332	
180	1337	
181	1345	32.2
182	1367	
183	1362	
184	1366	
185	1373	
186	1367	31.6
187	1371	
188	1383	
189	1384	
190	1406	
191	1385	27.2
192	1450	
193	1511	
194	1512	
195	1568	
