x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	31	
5	31	
6	31	
7	32	
8	33	
9	34	
10	35	
11	36	
12	36	
13	37	
14	45	
15	46	
16	47	
17	52	
18	53	
19	54	
20	54	
21	54	
22	54	
23	61	
24	63	
25	63	
26	65	
27	67	
28	77	
29	78	
30	78	
31	79	
32	81	
33	83	
34	83	
35	87	
36	88	
37	88	
38	90	
39	91	
40	96	
41	97	
42	99	
43	100	
44	102	
45	103	
46	107	
47	108	
48	108	
49	108	
50	108	
51	109	
52	110	
53	110	
54	111	
55	111	
56	114	
57	119	
58	123	
59	123	
60	125	
61	127	
62	130	
63	134	
64	134	
65	135	
66	138	
67	138	
68	139	
69	138	
70	139	
71	140	24.4
72	141	
73	142	
74	143	
75	150	
76	149	27.6
77	149	
78	149	
79	150	
80	151	
81	145	36.6
82	146	
83	148	
84	149	
85	158	
86	158	43.3
87	161	
88	163	
89	162	
90	163	
91	162	45.9
92	165	
93	168	
94	168	
95	167	
96	167	45.9
97	171	
98	172	
99	172	
100	173	
101	188	43.9
102	191	
103	199	
104	200	
105	198	
106	199	38.32
107	200	
108	204	
109	208	
110	206	
111	206	39.82
112	209	
113	213	
114	214	
115	214	
116	214	39.22
117	213	
118	214	
119	218	
120	216	
121	220	36.42
122	222	
123	222	
124	221	
125	220	
126	219	41.6
127	222	
128	230	
129	235	
130	236	
131	235	41.8
132	240	
133	241	
134	244	
135	243	
136	246	37.2
137	237	
138	237	
139	234	
140	233	
141	236	36.6
142	234	
143	245	
144	248	
145	248	
146	248	39.5
147	245	
148	245	
149	249	
150	248	
151	245	35.2
152	252	
153	252	
154	253	
155	248	
156	249	34.44
157	250	
158	251	
159	250	
160	250	
161	249	40.24
162	252	
163	248	
164	248	
165	248	
166	247	31.35
167	251	
168	249	
169	246	
170	248	
171	250	30.85
172	256	
173	259	
174	258	
175	256	
176	257	25.71
177	250	
178	252	
179	247	
180	247	
181	249	25.71
182	247	
183	245	
184	246	
185	244	
186	244	20.01
187	242	
188	241	
189	242	
190	243	
191	242	27.91
192	242	
193	245	
194	243	
195	241	
196	240	34.11
197	242	
198	244	
199	245	
200	246	
201	244	32.81
202	243	
203	245	
204	247	
205	246	
