x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	8	
5	9	
6	13	
7	16	
8	18	
9	20	
10	20	
11	20	
12	24	
13	24	
14	24	
15	24	
16	25	
17	25	
18	25	
19	26	
20	26	
21	35	
22	45	
23	53	
24	59	
25	59	
26	60	
27	61	
28	62	
29	62	
30	63	
31	67	
32	67	
33	67	
34	67	
35	67	
36	68	
37	70	
38	71	
39	75	
40	80	
41	81	
42	82	
43	82	
44	84	
45	84	
46	86	
47	86	
48	88	
49	88	
50	89	
51	92	
52	93	
53	95	
54	96	
55	97	
56	103	
57	105	
58	105	
59	108	
60	114	
61	114	
62	115	
63	118	
64	118	
65	120	
66	122	
67	130	
68	131	
69	132	
70	133	
71	133	25.9
72	136	
73	136	
74	140	
75	140	
76	140	16.75
77	141	
78	143	
79	159	
80	160	
81	160	15.8
82	161	
83	165	
84	167	
85	167	
86	168	19
87	169	
88	172	
89	173	
90	172	
91	174	15.6
92	174	
93	180	
94	186	
95	186	
96	184	19.2
97	186	
98	186	
99	187	
100	188	
101	189	16.2
102	192	
103	190	
104	191	
105	190	
106	191	18.9
107	190	
108	204	
109	206	
110	215	
111	215	19.8
112	218	
113	221	
114	222	
115	221	
116	221	19.8
117	226	
118	231	
119	232	
120	231	
121	230	20.4
122	269	
123	274	
124	278	
125	276	
126	275	20.83
127	281	
128	281	
129	280	
130	278	
131	278	20.83
132	283	
133	285	
134	285	
135	281	
136	279	18
137	281	
138	284	
139	288	
140	288	
141	304	31
142	309	
143	309	
144	306	
145	304	
146	305	44.7
147	305	
148	303	
149	301	
150	301	
151	304	42.5
152	304	
153	304	
154	321	
155	322	
156	323	40.1
157	323	
158	323	
159	324	
160	323	
161	325	40.1
162	316	
163	319	
164	326	
165	328	
166	328	42.5
167	333	
168	333	
169	358	
170	358	
171	356	42.2
172	359	
173	363	
174	363	
175	362	
176	363	37.4
177	366	
178	368	
179	369	
180	367	
181	368	31.1
182	368	
183	370	
184	372	
185	372	
186	370	32.6
187	361	
188	359	
189	357	
190	357	
191	358	32.6
192	357	
193	358	
194	364	
195	363	
196	365	27.69
197	359	
198	359	
199	364	
200	362	
201	358	28.89
202	359	
203	359	
204	356	
205	357	
206	351	23.3
207	352	
