x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	7	
5	9	
6	9	
7	15	
8	21	
9	26	
10	26	
11	26	
12	26	
13	29	
14	29	
15	31	
16	31	
17	31	
18	31	
19	31	
20	32	
21	33	
22	37	
23	54	
24	60	
25	81	
26	81	
27	82	
28	83	
29	83	
30	84	
31	84	
32	85	
33	91	
34	91	
35	91	
36	93	
37	98	
38	101	
39	102	
40	102	
41	105	
42	105	
43	110	
44	110	
45	111	
46	116	
47	118	
48	120	
49	120	
50	121	
51	147	
52	158	
53	159	
54	163	
55	165	
56	167	
57	178	
58	179	
59	179	
60	182	
61	184	
62	189	
63	189	
64	191	
65	194	
66	199	
67	203	
68	204	
69	202	
70	206	
71	209	25.3
72	217	
73	219	
74	225	
75	232	
76	242	17.4
77	243	
78	244	
79	249	
80	259	
81	263	16.5
82	265	
83	265	
84	267	
85	271	
86	270	18.3
87	270	
88	270	
89	275	
90	274	
91	280	17.37
92	279	
93	279	
94	277	
95	287	
96	294	18.3
97	294	
98	292	
99	293	
100	296	
101	279	18.3
102	275	
103	278	
104	279	
105	282	
106	283	21.6
107	305	
108	312	
109	318	
110	317	
111	319	14.7
112	321	
113	321	
114	346	
115	344	
116	350	15.85
117	355	
118	354	
119	359	
120	361	
121	364	12.3
122	370	
123	358	
124	358	
125	361	
126	364	31.4
127	371	
128	378	
129	394	
130	398	
131	397	27.1
132	400	
133	393	
134	395	
135	401	
136	402	38.35
137	404	
138	390	
139	398	
140	408	
141	418	42.15
142	407	
143	407	
144	402	
145	397	
146	397	39.9
147	403	
148	403	
149	406	
150	411	
151	407	35.66
152	410	
153	402	
154	417	
155	425	
156	429	35.66
157	447	
158	449	
159	450	
160	476	
161	481	38.6
162	482	
163	479	
164	476	
165	484	
166	482	38.6
167	482	
168	484	
169	490	
170	495	
171	494	40.9
172	501	
173	502	
174	506	
175	509	
176	510	38.4
177	510	
178	509	
179	512	
180	509	
181	512	30.3
182	517	
183	513	
184	521	
185	520	
186	523	21.21
187	528	
188	528	
189	530	
190	537	
191	536	33.6
192	541	
193	543	
194	543	
195	539	
196	538	34.1
197	545	
198	542	
199	544	
200	542	
201	543	38.4
202	547	
203	548	
204	553	
205	554	
