x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	9	
5	11	
6	11	
7	18	
8	24	
9	31	
10	31	
11	32	
12	32	
13	35	
14	36	
15	36	
16	36	
17	36	
18	36	
19	38	
20	38	
21	50	
22	50	
23	60	
24	65	
25	90	
26	91	
27	94	
28	99	
29	99	
30	100	
31	101	
32	101	
33	106	
34	106	
35	106	
36	110	
37	110	
38	113	
39	113	
40	113	
41	116	
42	116	
43	121	
44	121	
45	122	
46	128	
47	129	
48	129	
49	131	
50	131	
51	136	
52	144	
53	149	
54	150	
55	155	
56	155	
57	160	
58	162	
59	164	
60	165	
61	166	
62	170	
63	171	
64	171	
65	172	
66	176	
67	179	
68	180	
69	183	
70	184	
71	188	20.7
72	189	
73	191	
74	195	
75	195	
76	198	8.92
77	204	
78	205	
79	209	
80	217	
81	219	14.9
82	218	
83	220	
84	223	
85	224	
86	227	10.1
87	227	
88	227	
89	232	
90	233	
91	235	18.2
92	233	
93	234	
94	237	
95	241	
96	240	19.05
97	238	
98	238	
99	240	
100	239	
101	243	19.05
102	241	
103	246	
104	246	
105	260	
106	263	10.5
107	264	
108	266	
109	268	
110	273	
111	272	20.1
112	272	
113	270	
114	271	
115	266	
116	266	20.1
117	272	
118	269	
119	272	
120	270	
121	270	30.8
122	275	
123	272	
124	278	
125	283	
126	286	23.9
127	290	
128	294	
129	302	
130	303	
131	306	41.05
132	310	
133	306	
134	309	
135	317	
136	315	39.05
137	319	
138	317	
139	322	
140	338	
141	346	48.85
142	343	
143	340	
144	338	
145	354	
146	360	34.21
147	358	
148	360	
149	357	
150	360	
151	357	34.21
152	357	
153	356	
154	355	
155	358	
156	363	34.31
157	367	
158	370	
159	371	
160	374	
161	378	29.81
162	381	
163	389	
164	388	
165	390	
166	387	34.21
167	402	
168	410	
169	406	
170	404	
171	407	31.41
172	408	
173	414	
174	414	
175	411	
176	412	33.31
177	424	
178	423	
179	422	
180	422	
181	418	33.31
182	429	
183	429	
184	431	
185	432	
186	433	31.01
187	437	
188	444	
189	442	
190	442	
191	442	35.51
192	441	
193	444	
194	441	
195	444	
196	448	45.3
197	453	
198	457	
199	463	
200	456	
201	456	40.1
202	463	
203	472	
204	469	
205	471	
206	472	30
