x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	1	
5	1	
6	1	
7	1	
8	1	
9	1	
10	1	
11	1	
12	1	
13	1	
14	1	
15	1	
16	1	
17	3	
18	3	
19	3	
20	3	
21	3	
22	4	
23	4	
24	4	
25	4	
26	4	
27	5	
28	5	
29	5	
30	5	
31	5	
32	5	
33	5	
34	5	
35	6	
36	6	
37	7	
38	7	
39	7	
40	8	
41	8	
42	8	
43	8	
44	8	
45	8	
46	8	
47	11	
48	11	
49	12	
50	12	
51	12	
52	12	
53	12	
54	13	
55	13	
56	13	
57	13	
58	13	
59	13	
60	13	
61	14	
62	17	
63	17	
64	17	
65	17	
66	18	
67	18	
68	18	
69	18	
70	18	
71	18	16.5
72	18	
73	18	
74	19	
75	19	
76	20	17.4
77	20	
78	21	
79	21	
80	22	
81	22	23.3
82	22	
83	23	
84	23	
85	23	
86	23	28.03
87	23	
88	26	
89	26	
90	27	
91	27	28.03
92	27	
93	28	
94	28	
95	28	
96	28	36.73
97	28	
98	29	
99	29	
100	30	
101	31	32.73
102	31	
103	34	
104	34	
105	34	
106	34	26.03
107	34	
108	35	
109	35	
110	35	
111	36	20.41
112	36	
113	36	
114	36	
115	36	
116	36	16.91
117	37	
118	37	
119	38	
120	38	
121	38	23.2
122	38	
123	38	
124	38	
125	38	
126	39	18.6
127	38	
128	39	
129	39	
130	39	
131	39	27.4
132	39	
133	41	
134	40	
135	40	
136	40	30.9
137	41	
138	41	
139	42	
140	42	
141	42	35.4
142	42	
143	42	
144	43	
145	42	
146	41	34.7
147	41	
148	41	
149	41	
150	40	
151	39	38.08
152	39	
153	38	
154	38	
155	37	
156	36	46.53
157	37	
158	37	
159	37	
160	38	
161	38	36.41
162	38	
163	38	
164	39	
165	41	
166	42	43.79
167	43	
168	43	
169	41	
170	43	
171	44	47.79
172	44	
173	44	
174	44	
175	44	
176	44	43.25
177	45	
178	45	
179	45	
180	45	
181	45	44.45
182	46	
183	46	
184	43	
185	44	
186	45	45.95
187	46	
188	47	
189	46	
190	46	
191	46	15.2
192	47	
193	47	
194	48	
195	50	
196	50	27.5
197	49	
198	49	
199	48	
200	48	
201	47	14.62
202	48	
203	47	
204	50	
205	51	
